County,Reference Town,Commute Type,Distance to Dublin (km),Commute Time (min),Query Time,Year_2006,Year_2016
Carlow,Carlow,driving,89.356,70.11666667,Morning,50349,56932
Carlow,Carlow,driving,89.356,70.11666667,Evening,50349,56932
Carlow,Carlow,transit,86.452,80,Morning,50349,56932
Carlow,Carlow,transit,92.378,89,Evening,50349,56932
Cavan,Cavan,driving,118.08,97.71666667,Morning,64003,76176
Cavan,Cavan,driving,118.08,97.71666667,Evening,64003,76176
Cavan,Cavan,transit,119.726,154.15,Morning,64003,76176
Cavan,Cavan,transit,119.498,136.95,Evening,64003,76176
Clare,Ennis Co. Clare,driving,245.308,155.5,Morning,110950,118817
Clare,Ennis Co. Clare,driving,245.308,155.5,Evening,110950,118817
Clare,Ennis Co. Clare,transit,234.765,217.8166667,Morning,110950,118817
Clare,Ennis Co. Clare,transit,234.765,219.5333333,Evening,110950,118817
Cork,Cork,driving,258.34,168.1833333,Morning,481295,542868
Cork,Cork,driving,258.34,168.1833333,Evening,481295,542868
Cork,Cork,transit,251.93,180,Morning,481295,542868
Cork,Cork,transit,268.645,186,Evening,481295,542868
Donegal,Letterkenny Co. Donegal,driving,239.972,191.3,Morning,147264,159192
Donegal,Letterkenny Co. Donegal,driving,239.972,191.3,Evening,147264,159192
Donegal,Letterkenny Co. Donegal,transit,239.307,223,Morning,147264,159192
Donegal,Letterkenny Co. Donegal,transit,242.47,243,Evening,147264,159192
Galway,Galway,driving,206.742,138.9833333,Morning,1187176,1347359
Galway,Galway,driving,206.742,138.9833333,Evening,1187176,1347359
Galway,Galway,transit,206.192,150,Morning,1187176,1347359
Galway,Galway,transit,210.805,186.3,Evening,1187176,1347359
Kerry,Tralee,driving,298.53,207.2666667,Morning,231670,258058
Kerry,Tralee,driving,298.53,207.2666667,Evening,231670,258058
Kerry,Tralee,transit,300.328,296.65,Morning,231670,258058
Kerry,Tralee,transit,332.864,408,Evening,231670,258058
Kildare,Naas,driving,36.637,38.83333333,Morning,139835,147707
Kildare,Naas,driving,36.637,38.83333333,Evening,139835,147707
Kildare,Naas,transit,49.122,80,Morning,139835,147707
Kildare,Naas,transit,34.177,40,Evening,139835,147707
Kilkenny,Kilkenny,driving,127.969,89.76666667,Morning,186335,222504
Kilkenny,Kilkenny,driving,127.969,89.76666667,Evening,186335,222504
Kilkenny,Kilkenny,transit,123.824,113.9166667,Morning,186335,222504
Kilkenny,Kilkenny,transit,123.824,115.6833333,Evening,186335,222504
Laois,Portlaoise,driving,93.33,70.16666667,Morning,87558,99232
Laois,Portlaoise,driving,93.33,70.16666667,Evening,87558,99232
Laois,Portlaoise,transit,84.611,122.7666667,Morning,87558,99232
Laois,Portlaoise,transit,80.58,96,Evening,87558,99232
Leitrim,Carrick-on-Shannon,driving,152.988,117.0666667,Morning,67059,84697
